Filename,4zhooVsystime,4zhooVusertime,4zhooVeltime,4zhooVmem,8GCbtGC9slyjCmsystime,8GCbtGC9slyjCmusertime,8GCbtGC9slyjCmeltime,8GCbtGC9slyjCmmem,E5V5qDivA9RH19XqfJRssystime,E5V5qDivA9RH19XqfJRsusertime,E5V5qDivA9RH19XqfJRseltime,E5V5qDivA9RH19XqfJRsmem,EPsj6systime,EPsj6usertime,EPsj6eltime,EPsj6mem,LiEzVKq06VSx4ZE7systime,LiEzVKq06VSx4ZE7usertime,LiEzVKq06VSx4ZE7eltime,LiEzVKq06VSx4ZE7mem,QpxBKxVS mNgSfjsystime,QpxBKxVS mNgSfjusertime,QpxBKxVS mNgSfjeltime,QpxBKxVS mNgSfjmem,QzfOhZ uywytRLgsystime,QzfOhZ uywytRLgusertime,QzfOhZ uywytRLgeltime,QzfOhZ uywytRLgmem,WUhS4ZQvmCVcsystime,WUhS4ZQvmCVcusertime,WUhS4ZQvmCVceltime,WUhS4ZQvmCVcmem,aPwYwosY03i1B4systime,aPwYwosY03i1B4usertime,aPwYwosY03i1B4eltime,aPwYwosY03i1B4mem,cUQdnap7aQUswWIsystime,cUQdnap7aQUswWIusertime,cUQdnap7aQUswWIeltime,cUQdnap7aQUswWImem,dpymgO5IZbReuYGsystime,dpymgO5IZbReuYGusertime,dpymgO5IZbReuYGeltime,dpymgO5IZbReuYGmem,fxDsAxndtJrsZ1systime,fxDsAxndtJrsZ1usertime,fxDsAxndtJrsZ1eltime,fxDsAxndtJrsZ1mem,kfWTesystime,kfWTeusertime,kfWTeeltime,kfWTemem,lekTu5h5RBT6JPwdsystime,lekTu5h5RBT6JPwdusertime,lekTu5h5RBT6JPwdeltime,lekTu5h5RBT6JPwdmem,npobbL systime,npobbL usertime,npobbL eltime,npobbL mem,o5j1wjTIpBTUQsystime,o5j1wjTIpBTUQusertime,o5j1wjTIpBTUQeltime,o5j1wjTIpBTUQmem,rJQ6Wjk2g2systime,rJQ6Wjk2g2usertime,rJQ6Wjk2g2eltime,rJQ6Wjk2g2mem,utsW7J tv9FjY4Rsystime,utsW7J tv9FjY4Rusertime,utsW7J tv9FjY4Reltime,utsW7J tv9FjY4Rmem,v8fcLpuzMn4zuSL9isystime,v8fcLpuzMn4zuSL9iusertime,v8fcLpuzMn4zuSL9ieltime,v8fcLpuzMn4zuSL9imem,zYrFh4systime,zYrFh4usertime,zYrFh4eltime,zYrFh4mem,systimetot,usertimetot,eltimetot,memhigh
./0/dir_2/altro_6/sTFjVqQMu9mARCRsRV21206QOzf3bN49togGh8o3Q2jrG.JBhIK,,,,,,,,,,,,,19-01:39:11,55:50.543409,15-20:09:39,99266,,,,,16:10:43,19-16:04:40,12:21:03,196458,,,,,,,,,17:30:48,15-20:09:39,49:34.666329,904398,,,,,17:20:30,09:07:36,22:03.330224,749785,,,,,15:37:08,49:34.666329,43:12.185100,675228,,,,,,,,,,,,,29:31.645065,23:00:27,06:38:47,677240,21:22:45,06:38:47,43:26.861226,139524,,,,,,,,,1.966e+06,3.214e+06,1.446e+06,904398
./0/altro_5/9/HCJukJklFzfyGIoHFYcuAl74SP.b1jXwd8.JBhIK,,,,,10-09:42:08,23:27:11,6-16:38:01,793055,,,,,19:16:11,21:59:41,23:02:27,600638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:06:29,10-09:42:08,20:57:14,33342,8-08:27:59,18:27:36,4-23:10:24,454219,,,,,9-12:58:23,13:50:29,13:35:02,557556,,,,,59:07.946381,28:44.962015,58:01.113955,631935,,,,,2.590e+06,1.181e+06,1.218e+06,793055
./0/dir_2/altro_8/altro_12/fP8CsKI5BWCTLCeGIpJNHLeTD.lMACe8fL3.JBhIK,14-02:56:41,17:36:57,1-22:05:57,890914,,,,,17:36:57,05:50:21,15:56:25,66561,23:47.104596,12:34:28,14-05:51:15,959842,,,,,,,,,,,,,16:00:27,17:36:57,17-04:06:16,730847,18-19:24:22,10:56:52,05:50:21,971957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42:56.763363,15-19:09:38,25:35.703704,422831,,,,,,,,,2.970e+06,1.598e+06,2.960e+06,971957
./0/1/4/7/2iLB67ZiV5sj0CtA041qvw0i78U9bEQ.JBhIK,,,,,,,,,,,,,,,,,,,,,23:00:50,45:47.872371,1-17:08:44,735464,,,,,,,,,18-12:19:41,16:12:42,13-10:18:00,886090,,,,,,,,,,,,,,,,,,,,,22:45.399073,45:01.392536,16-18:56:57,107932,,,,,55:00.828455,18:42:39,20:58:53,58874,,,,,,,,,45:47.872371,11:57.676732,13-04:01:53,113659,1.690e+06,1.319e+05,3.972e+06,886090
./0/dir_2/ZZ4fBwMeoGF56IH24LrgMxUtSSozu.JBhIK,,,,,12:10:53,35:03.675942,09:57:54,476777,,,,,,,,,,,,,,,,,,,,,14:48:41,11:36:17,46:11.612796,878587,,,,,8-01:21:35,2-19:38:04,22:33:35,555503,11:23:40,13:15.391399,05:53.908665,573243,,,,,,,,,10:44:49,17-06:35:40,15-11:42:12,439211,,,,,,,,,,,,,,,,,,,,,,,,,8.730e+05,1.781e+06,1.458e+06,878587
./0/altro_5/9/ypratuDUJbWVqow17pD31.JBhIK,,,,,15:34:29,21:39:26,48:10.454630,153089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-15:39:07,23:21:00,7-18:19:10,438931,,,,,,,,,,,,,38:00.935419,18:34:32,10-08:37:37,401926,,,,,,,,,7-18:19:10,3-06:48:17,02:40.501341,558809,,,,,,,,,22:01:13,10-08:37:37,04:42.91551,300750,1.729e+06,1.408e+06,1.569e+06,558809
./0/1/4/7/BopsAHkNf.2Yj.JBhIK,,,,,,,,,,,,,,,,,,,,,,,,,20-02:06:25,01:55:40,1-00:19:33,542918,,,,,7-16:53:57,09:59.497937,15:48:16,755412,,,,,,,,,,,,,22:48:03,03:04:09,17:38:06,817951,,,,,14:07:24,1-00:19:33,14:34:53,744458,,,,,,,,,8-03:31:55,59:09.764185,22:33.691104,715381,,,,,,,,,3.238e+06,1.097e+05,2.618e+05,817951
./0/altro_5/9/iLbRUIdAZjux50J.JBhIK,4-18:58:27,4-18:58:27,18:29:53,605234,20:41:19,4-18:58:27,48:54.572427,599306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43:51.973306,17-11:58:44,56:31.654299,285435,,,,,,,,,01:05:47,14:41:29,43:51.973306,910262,,,,,22:49.916615,03:05:04,17-23:35:07,232606,,,,,,,,,4.963e+05,2.404e+06,1.629e+06,910262
./0/dir_2/pwpGQHCl4YYvsof0LfjWg1onUYfxOS5E2x2GPBGbMf.JBhIK,,,,,44:01.780386,18-11:00:48,16-21:49:20,821970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:35:33,20-19:39:54,17-06:28:39,386232,,,,,,,,,19:35:52,15-15:55:08,18:53:31,237263,,,,,13:17:32,18:51:40,01:41:08,60209,,,,,,,,,,,,,,,,,,,,,1.988e+05,4.815e+06,3.027e+06,821970
./0/altro_5/rCxB7aoR46UsSS1u39pDhLpBjo6GHl.JBhIK,15:58:42,9-15:15:25,9-12:11:57,204121,16:39:31,00:53.800405,4-05:50:36,74574,,,,,,,,,07:54.347660,18:24.653539,00:51:26,850913,,,,,,,,,,,,,,,,,,,,,,,,,45:38.575245,23:03:41,19:47.392124,519619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.207e+05,9.167e+05,1.192e+06,850913
./0/dir_2/altro_6/SD9ct4oboyTPA4qWazTeb.W4Yv.MJ.DMm3IHlEQ.JBhIK,,,,,,,,,5-09:42:26,16:52:20,44:42.318909,97774,,,,,34:39.164926,15-03:04:29,15-03:04:29,637282,,,,,19:57:32,39:57.183180,21:32:43,154156,8-10:50:37,18-02:09:02,20:40:46,151861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.271e+06,2.933e+06,1.462e+06,637282
./0/altro_5/11DQHmJLuLaPQllC72.SCj3siBaf4Vt.JBhIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26:48.445029,15:09:09,13:39:50,91184,,,,,,,,,,,,,,,,,59:37.94481,22:47:13,3-21:09:52,866081,51:09.293424,17:03:48,13:50:10,308104,52:27.177663,51:52.530123,08:24:56,460783,1.140e+04,2.011e+05,4.647e+05,866081
./0/1/4/7/3VifINHMvfyht047.JBhIK,,,,,,,,,,,,,,,,,10-18:53:34,15:26:46,13:01:15,261735,,,,,,,,,,,,,9-22:08:16,1-17:27:03,20:28:10,315218,,,,,08:48.150447,31:07.178215,08:11:54,311792,,,,,,,,,16:04:25,8-12:43:18,47:41.403956,980647,,,,,,,,,,,,,,,,,,,,,,,,,1.848e+06,9.437e+05,1.529e+05,980647
./0/altro_5/aaas6asahsaaa.idago.JBhIK,,,,,,,,,19:54.591539,20:49:08,18:30:50,876713,11:55:06,18:30:50,13-04:15:59,712068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:30.583165,18-15:04:12,30:16.277825,461728,,,,,,,,,,,,,,,,,,,,,21:02:35,17-06:23:58,07:33:50,715628,,,,,1.203e+05,3.243e+06,1.234e+06,876713
./0/dir_2/FQMX69fATXFpevjdQIcXAATA401XTtbNJyVtMLZJ.bfPGTkUBB.JBhIK,,,,,43:08.716569,15:57:24,08:23.583216,43178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30:44,15:17.902587,6-14:21:54,440633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53:09.182032,12:28:28,7-13:31:24,115919,4.722e+04,1.033e+05,1.224e+06,440633
./0/dir_2/altro_8/mhotfU9gnOhwFNlIQblWtEHzFGqgs5i8NJY.JBhIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:22:35,17:45:22,45:05.14047,466354,,,,,,,,,,,,,,,,,,,,,,,,,10-05:10:22,16:16:44,15:13:06,528967,3-15:04:12,15:13:06,10-23:04:01,140940,1.241e+06,1.773e+05,1.005e+06,528967
./0/1/4/7/gJeZFgaxhp4krTw6s1wExzhficFQ1X03.JBhIK,,,,,23:13:52,5-22:39:05,41:11.993037,654330,,,,,,,,,,,,,10-06:05:14,17:04:33,15:02:38,617200,,,,,10-10:17:06,11:16:21,10:15.838905,541144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.871e+06,6.156e+05,5.725e+04,654330
./0/1/4/tRzEFhRqTthc2PW0xate.M9Rr2boXSw47wwT6l9UF.JBhIK,,,,,,,,,,,,,,,,,31:38.990740,20-12:32:00,11-23:11:50,59488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:15:00,13:42:57,18:50.665424,722072,,,,,31:45.30803,11-23:11:50,39:08.46195,186589,,,,,,,,,,,,,,,,,8.390e+04,2.856e+06,1.037e+06,722072
./0/1/4/7/nhwDO2RpPPXkLcDMDhBGHLcoqgG.JBhIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:14:34,06:29:40,46:46.971262,988297,,,,,,,,,,,,,,,,,,,,,56:31.433223,46:46.971262,04:30:21,926901,,,,,,,,,,,,,02:19:10,17-06:36:32,02:46.833906,762229,,,,,7.382e+04,1.519e+06,1.919e+04,988297
./0/altro_5/9/RZS.9nDqj.msyye4jZJgfuwvScP.JBhIK,10:47:18,19-01:53:40,01:30:49,419628,,,,,,,,,,,,,,,,,04:31:33,06:55:25,39:12.317058,108109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.513e+04,1.673e+06,7.801e+03,419628
./0/1/4/D274NS0yXyl7YLu7JnUkzcd.JBhIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:52:57,12:48:49,17-18:12:36,258792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-11:20:22,14:29:36,1-09:07:56,592990,1.671e+06,9.830e+04,1.654e+06,592990
./0/altro_5/lEmINuClOAvUa4hyWxWD2oQCLn9xGsi.JBhIK,,,,,,,,,,,,,,,,,,,,,20-15:21:13,18:24.102885,11:00:23,538735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:54:11,19:39:20,12:57:44,805335,1.851e+06,7.186e+04,8.629e+04,805335
./0/altro_5/mQZzliLK587Ek0JpH2rxO.utRA0bsTUbcZKqQjZAOxwFb.JBhIK,,,,,08:28:43,37:55.469221,06:16:01,595083,,,,,,,,,,,,,,,,,,,,,6-00:50:33,00:29:41,00:13:02,615547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.520e+05,4.056e+03,2.334e+04,615547
./0/altro_5/maY8OgUV2aFIjJNSMvQAZ1UEBZbGjQHINwP4QPvpyEstHGBZ.JBhIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:19:00,06:35:00,26:20.139201,109894,,,,,,,,,,,,,19:38.336042,17:19:00,13-11:30:33,775608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.352e+04,8.604e+04,1.166e+06,775608
./0/altro_11/RfAN89ruVO4d0.JBhIK,,,,,,,,,23:07:23,10:36:33,32:26.828014,361550,,,,,,,,,,,,,,,,,09:11:05,13:36:19,4-17:22:45,951939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.163e+05,8.717e+04,4.101e+05,951939
TOTALS,1.730e+06,2.958e+06,1.060e+06,890914,1.253e+06,2.747e+06,2.473e+06,821970,6.148e+05,1.949e+05,1.287e+05,876713,1.761e+06,1.944e+05,3.821e+06,959842,9.365e+05,3.137e+06,2.391e+06,850913,2.827e+06,1.790e+06,2.887e+05,735464,1.807e+06,9.337e+03,1.651e+05,542918,2.434e+06,1.829e+06,3.506e+06,951939,4.873e+06,1.640e+06,1.318e+06,988297,1.694e+06,2.126e+06,2.244e+06,555503,1.040e+05,3.552e+04,3.119e+04,749785,8.992e+04,2.102e+05,1.739e+06,775608,2.136e+05,4.543e+06,1.885e+05,817951,2.513e+05,3.245e+06,2.313e+06,980647,8.251e+05,2.274e+05,1.954e+06,926901,5.852e+03,1.087e+06,4.980e+03,910262,1.500e+06,4.837e+05,1.485e+05,677240,7.884e+05,1.486e+06,1.895e+06,866081,9.733e+05,3.106e+06,1.355e+05,762229,2.066e+06,1.122e+06,2.935e+06,805335
